Key,doc_text
CGST Amount,%
CGST Amount,9%
CGST Amount,Amt
CGST Amount,CGST
CGST Amount,CGST 2.5%
CGST Amount,CGST @ 9%
CGST Amount,CGST 9%
CGST Amount,CGST(9%)
CGST Amount,CGST9 (9%)
CGST Amount,CGST Amount
CGST Amount,CGST Amt
CGST Amount,Tax Amount
CGST Amount,Total CGST
CIN Number,CIN
Freight,Freight
HSN,HSN
HSN,HSN Code
HSN,HSN/ SAC
HSN,HSN/SAC
HSN,/SAC
HSN,SAC Code
IGST Amount,Amt
IGST Amount,IGST
IGST Amount,IGST %
IGST Amount,IGST 0%
IGST Amount,IGST @ 18%
IGST Amount,IGST Amount
IGST Amount,IGST Amount/IGST Output @ 18%
IGST Amount,IGST charged at 18%
IGST Amount,IGST Rate Amount
IGST Amount,Integrated GST (18%)
IGST Amount,Taxes: IGST @ 18%
IGST Amount,Total Tax Amount
Invoice Amount,Amount
Invoice Amount,Amount Rs.
Invoice Amount,Amount(Rs.)
Invoice Amount,Gross
Invoice Amount,Item Total
Invoice Amount,MRP (Rs) CGST
Invoice Amount,Net Amount
Invoice Amount,Subtotal
Invoice Amount,Sub Total
Invoice Amount,Subtotal in INR
Invoice Amount,Taxable
Invoice Amount,Taxable Amount
Invoice Amount,Taxable Value
Invoice Amount,Total Amount Before Tax
Invoice Amount,Total Amt
Invoice Amount,Total Charges
Invoice Amount,Total Taxable Value
Invoice Date,Date
Invoice Date,Dated
Invoice Date,Date of Invoice
Invoice Date,Document Date
Invoice Date,Document Date/Date
Invoice Date,Invoice date
Invoice Number,Bill No
Invoice Number,Bill No.
Invoice Number,Document No.
Invoice Number,GST Invoice No.
Invoice Number,Inv No
Invoice Number,Invoice #
Invoice Number,Invoice#
Invoice Number,Invoice No
Invoice Number,Invoice No.
Invoice Number,Invoice number
Invoice Number,Invoice Number #
Invoice Number,Invoice Serial Number
Invoice Number,No.
Invoice Total Amount,Amount
Invoice Total Amount,Amount Rs.
Invoice Total Amount,Current Total
Invoice Total Amount,GRAND TOTAL
Invoice Total Amount,Gross Amount/Total Invoice Value
Invoice Total Amount,Invoice Total
Invoice Total Amount,Invoice Value
Invoice Total Amount,Net Amount
Invoice Total Amount,per
Invoice Total Amount,Rs.
Invoice Total Amount,Total
Invoice Total Amount,Total Amount
Invoice Total Amount,Total in INR
Invoice Total Amount,Total Invoice Value
IRN No,E-Invoice IRN No.
IRN No,IRN
IRN No,IRN No
PAN Number,Company's PAN
PAN Number,PAN
PAN Number,PAN no.
PAN Number,PAN No
PAN Number,PAN Number
PO No#,Order Number
PO No#,Party's PO No/Date
PO No#,P.O. Number
PO No#,Pur.Ord.No & Date/
SGST Amount,%
SGST Amount,9%
SGST Amount,Amt
SGST Amount,SCGT Amount
SGST Amount,SGST
SGST Amount,SGST @ 9%
SGST Amount,SGST 9%
SGST Amount,SGST(9%)
SGST Amount,SGST9 (9%)
SGST Amount,SGST Amount
SGST Amount,SGST Amt
SGST Amount,SGST/UTGST 2.5%
SGST Amount,SGST/UTGST
SGST Amount,Tax Amount
SGST Amount,Total SGST
Sub Total Of GST,Net Amount
Sub Total Of GST,Sub Total
Sub Total Of GST,Subtotal in INR
Supplier GSTIN,GSTIN
Supplier GSTIN,GSTIN :
Supplier GSTIN,GSTIN :-
Supplier GSTIN,GSTIN/UIN
Supplier GSTIN,GSTN No
Supplier GSTIN,GSTN Number
Supplier GSTIN,GST No
Supplier GSTIN,GSTNo
Supplier GSTIN,GST no of provider
Supplier GSTIN,GST Registration No
Tax Amount,Taxable Amount
Tax Amount,Tax Amount
Tax Amount,TaxAmt
Tax Amount,Total taxes