"field_name","key"
Account Holder Name,Name
Account Number,Account No
Account Number,ACCOUNT NO
Account Number,Account Number
Account Number,Account Number -
Account Number,Account Number - 
Account Number,A/C No
Account Number,Statement of Account No
Account Number,Statement of Axis Account No
Closing Balance,Closing Balance
Closing Balance,Closing Balancee
Bank Address1,BRANCH ADDRESS
Bank Address2,BRANCH ADDRESS
Bank Branch,Account Branch
Bank Branch,ACCOUNT BRANCH
Bank Branch,Branch
Bank Branch,Branch Name
Closing Balance,Closing Bal
Closing Balance,CLOSING BALANCE
IFSC Code,AFSC
IFSC Code,IFSC
IFSC Code,IFSC Code
IFSC Code,IFSC CODE
IFSC Code,RTGS/NEFT IFSC
Opening Balance,BROUGHT FORWARD
Opening Balance,OPENING BALANCE
Statement Date,Date
Statement Date,DATE
Statement Date,Date of Statement
Statement Date,Generated On
Statement Date,Statement date
Statement Date,Statement Date
Statement Date,Statement Request/Download Date
Statement Period From,(From
Statement Period From,From
Statement Period From,Period
Statement Period From,Period From
Statement Period From,Statement for the Period From
Statement Period From,Statement From
Statement Period From,STATEMENT PERIOD
Statement Period From,STATEMENT PERIOD FROM
Statement Period From,Transaction Date From
Statement Period From,Transaction Period
Statement Period To,Period
Statement Period To,Period To
Statement Period To,Statement for the Period to
Statement Period To,Statement from
Statement Period To,STATEMENT PERIOD
Statement Period To,STATEMENT PERIOD TO
Statement Period To,Statement To
Statement Period To,To
Statement Period To,Transaction Date To
Statement Period To,Transaction Period